Permethrin,Scabies
Ketorolac Tromethamine,Migraine Headache
Azelastine HCl,Cough
ValACYclovir HCl,Esophageal Reflux
Pilocarpine HCl,Vitamin D Deficiency
Insulin Isophane Pork,Type II Diabetes Mellitus
Lantus for OptiClik,Diabetes Mellitus
Indomethacin,Diabetes Mellitus
Ofloxacin,Diabetes Mellitus
Tessalon Perles,Tobacco Use
Catapres-TTS-1,Congestive Heart Failure
Vitamin B Complex,Alcohol
BD U/F Original Pen Needle,Vitamin D Deficiency
Tylenol,Occupation:
Aspirin EC Low Dose,Atrial Fibrillation
Megace ES,Drug Use
Potassimin,Heart Disease
Necon 7/7/7,Bacterial Vaginosis
Venlafaxine HCl,Esophageal Reflux
Nebulizer,Essential Hypertension
Augmentin XR,Drug Use
Atripla,Depression
Clindamycin Phos-Benzoyl Perox,Drug Use
Centrum,Coronary Artery Disease
Oxybutynin Chloride,Diabetes Mellitus
Clotrimazole-Betamethasone,Hypertension
Lancets 30G,Drug Use
Glucosamine,Hypertension
Low-Ogestrel,Breast Cancer
Terbinafine HCl,Esophageal Reflux
CeraVe,Acute Upper Respiratory Infection
Metamucil,Benign Essential Hypertension
Amrix,Benign Essential Hypertension
Benazepril-Hydrochlorothiazide,Essential Hypertension
Diastat Pediatric,Living With Parents
Mucinex D,Allergic Rhinitis
Gris-PEG,Preterm Infant
BiDil,Dyslipidemia
Zovirax,Alcohol
AndroGel,Drug Use
Multi Vitamin Mens,Hypertension
Caltrate 600+D,Hypertension
Baby Aspirin,Hyperlipidemia
NovoLOG Mix 70/30,Drug Use
Requip,Benign Essential Hypertension
Cardizem,Chronic Obstructive Pulmonary Disease
Amrix,Depression
Zegerid,Alcohol Use
Sotalol HCl (AF),Essential Hypertension
Nitrostat,Drug Use
Carbidopa-Levodopa,Stroke Syndrome
Stool Softener,Coronary Artery Disease
Namenda,Diabetes Mellitus
Asmanex 120 Metered Doses,Asthma
Lotensin HCT,Benign Essential Hypertension
Flovent Diskus,Osteoarthritis
Accu-Chek Aviva,Benign Essential Hypertension
Mirapex,Hypothyroidism
Guaifen PSE,Acute Upper Respiratory Infection
NovoLIN 70/30,Alcohol
Clarithromycin,Tobacco Use
Acetamin,Normal Routine History And Physical Geriatric (80 +)
Walker,Normal Routine History And Physical Geriatric (80 +)
Azopt,Atrial Fibrillation
Icar,Diabetes Mellitus
DermOtic,Heart Disease
Pataday,Hyperlipidemia
Omnaris,Never Smoked
Ipratropium Bromide,Asthma
Flax Seed Oil,Hyperlipidemia
Guaifen PSE,Blood Pressure Isolated Elevated
Cartia XT,Benign Essential Hypertension
Ondansetron,Marital History - Currently Married
MiraLax,Normal Routine History And Physical Geriatric (80 +)
PriLOSEC OTC,Hypothyroidism
Ativan,Hypertension
Ventolin HFA,Stroke Syndrome
Relpax,Heart Disease
Loestrin Fe 1/20,Surgery
Bromfed DM,Acute Bronchitis
DiphenhydrAMINE Cough,Allergic Rhinitis
Combigan,Normal Routine History And Physical Geriatric (80 +)
Cosopt,Essential Hypertension
Zegerid,Essential Hypertension
Hydrocodone-Ibuprofen,Drug Use
Rondec DM,Benign Essential Hypertension
Fosinopril Sodium,Benign Essential Hypertension
Pentoxifylline CR,Benign Essential Hypertension
Omega 3,Occupation:
Aspirin/Antacid,Type II Diabetes Mellitus
Avandaryl,Type II Diabetes Mellitus
Iodosorb,Type II Diabetes Mellitus
Amiloride-Hydrochlorothiazide,Hysterectomy
Atrovent HFA,Hyperlipidemia
Diltiazem HCl ER Beads,Benign Essential Hypertension
Epzicom,Pneumonia
PROzac,Hypertension
Xalatan,Esophageal Reflux
Peridex,Heart Disease
Imipramine HCl,Insomnia
Econazole Nitrate,Alcohol
OneTouch UltraSoft Lancets,Tobacco Use
Nitrostat,Stroke Syndrome
Lopressor,Previous History Of Smoking
Patanol,Benign Essential Hypertension
AMILoride HCl,Taking Medication For A Long Time
Felodipine,Hypertension
Amiloride-Hydrochlorothiazide,Hypertension
Novofine 31,Type II Diabetes Mellitus
Bystolic,Stroke Syndrome
Cefadroxil,Hypertension
Calmoseptine,Acute Upper Respiratory Infection
Aspirin EC,Alcohol Use
Calcitriol,Essential Hypertension
Tylenol,Hyperlipidemia
Pepcid Complete,Insomnia
PROzac,Essential Hypertension
Nisoldipine,Hyperlipidemia
Ibuprofen IB,Arthritis
Dicyclomine HCl,Diabetes Mellitus
Alavert,Anxiety (Symptom)
Advil Junior Strength,Essential Hypertension
Calcium Citrate + D,Essential Hypertension
Novofine 31,Hyperlipidemia
Ipratropium Bromide,Occupation:
Imipramine HCl,Essential Hypertension
Loperamide HCl,Cough
Lidocaine-Hydrocortisone Ace,Hemorrhoids
Auralgan,Alcohol
B-D Insulin Syringe U/F Short,Type II Diabetes Mellitus
Ciclopirox Olamine,Hyperlipidemia
Clindamycin Palmitate HCl,Allergic Rhinitis
Exelon,Hyperlipidemia
ZyrTEC Childrens Allergy,Elective Circumcision
Rifampin,Hypertension
Coreg CR,Drug Use
Flunisolide,Essential Hypertension
Econazole Nitrate,Hypertension
CefTRIAXone Sodium,Occupation:
Patanol,Drug Use
Ofloxacin,Hypertension
Beyaz,Bacterial Vaginosis
DDAVP,Seizure Disorder
Zegerid,Hyperlipidemia
Ipratropium Bromide,Diabetes Mellitus
Cleocin,Previous Hospitalizations
Metaxalone,Hypertension
Mag-Oxide,Diabetes Mellitus Poorly Controlled
Patanol,Diabetes Mellitus
Reglan,Diabetes Mellitus
Xalatan,Alcohol Use
Clarithromycin,Hyperlipidemia
CefTRIAXone Sodium,Exercising Regularly
Reyataz,Diabetes Mellitus
Terazosin HCl,Diabetes Mellitus
DME,Anemia
Microgestin FE 1/20,Tobacco Use
BD Ultra-Fine Lancets,Benign Essential Hypertension
Renagel,Benign Essential Hypertension
Augmentin XR,Allergic Rhinitis
Folbic,Hypothyroidism
Diltiazem HCl CR,Previous History Of Smoking
Nebulizer,Acute Sinusitis
Gemfibrozil,Occupation:
Vitamin B Complex,Hypertension
Sular,Diabetes Mellitus
Calcium 600,Hyperlipidemia
Exforge,Alcohol
Glucotrol XL,Obesity
Pravachol,Hypothyroidism
Fortamet,Obesity
GlipiZIDE XL,Benign Essential Hypertension
Ascensia Contour Test,Drug Use
Ibuprofen Childrens,Acute Otitis Media
Symbicort,Esophageal Reflux
Voltaren,Hypothyroidism
Insulin Syringe/Needle,Diabetes Mellitus
DME,Esophageal Reflux
SUMAtriptan,Migraine Headache
NovoLIN R,Essential Hypertension
Acyclovir,Stroke Syndrome
Reclast,Esophageal Reflux
Acetaminophen,Drug Use
Icar,Wheezing
Proctofoam HC,Marital History - Currently Married
Tretinoin,Alcohol
Travatan Z,Hysterectomy
Metamucil,Hyperlipidemia
Avodart,Essential Hypertension
Neomycin-Polymyxin-HC,Alcohol
Cetirizine HCl Childrens,Obstructive Sleep Apnea
Cytoxan,Multiple Sclerosis
Dexilant,Thyroid Disorder
BiDil,Essential Hypertension
Prempro,Alcohol
Guaifenesin PSE,Acute Upper Respiratory Infection
Proctofoam HC,Hyperlipidemia
Amiloride-Hydrochlorothiazide,Tobacco Use
Glucosamine,Drug Use
OneTouch FinePoint Lancets,Obesity
Prandin,Hypertension
Caduet,Diabetes Mellitus
Cosamin DS,Hysterectomy
Estrogens Conjugated,Hysterectomy
Ketoconazole,Occupation:
Accu-Chek Multiclix Lancets,Tobacco Use
Glucosamine Chondroitin Complx,Hyperlipidemia
Acetaminophen,Alcohol Use
Indomethacin CR,Hyperlipidemia
Paxil,Essential Hypertension
Lubriderm,Common Cold
Avodart,Alcohol
Insulin Syringe/Needle,Hyperlipidemia
Chantix Continuing Month Pak,Benign Essential Hypertension
NovoLIN 70/30,Drug Use
YAZ,Diabetes Mellitus
Epidrin,Never Smoked
Patanase,Migraine Headache
Sular,Coronary Artery Disease
Tylenol Arthritis Pain,Hysterectomy
Zestril,Alcohol
Cetirizine HCl Childrens Alrgy,Acute Upper Respiratory Infection
Vicodin ES,Tobacco Use
Lantus for OptiClik,Essential Hypertension
Aspirin Buffered,Hyperlipidemia
Home Health,Obstructive Sleep Apnea
NovoLOG Mix 70/30,Alcohol
Cipro HC,Upper Respiratory Infection
Cyclophosphamide,Multiple Sclerosis
Pepcid,Coronary Artery Disease
Cytra-2,Vitamin D Deficiency
GlipiZIDE XL,Obesity
Minoxidil,Hyperlipidemia
Differin,Allergic Rhinitis
Femhrt Low Dose,Hypothyroidism
Tylenol Extra Strength,Drug Use
Trizivir,Marital History - Single
Morphine Sulfate,Benign Essential Hypertension
Ascensia Autodisc Test,Hyperlipidemia
Lubriderm,Elective Circumcision
Terbinafine HCl,Essential Hypertension
Glucosamine 1500 Complex,Osteoarthritis
Co Enzyme Q-10,Coronary Artery Disease
Pramipexole Dihydrochloride,Heart Disease
BD Ultra-Fine Needles 31 guage,Fatigue
BD Ultra-Fine Needles 31 guage,Diabetes Mellitus
Actos,Alcohol Use
Lancets 30G,Tobacco Use
BuPROPion HCl,Occupation:
Xopenex,Diabetes Mellitus
Exforge,Diabetes Mellitus
Glumetza,Hypothyroidism
Hydrocod Polst-Chlorphen Polst,Esophageal Reflux
Co Q10,Atrial Fibrillation
Vitamin B12 TR,Atrial Fibrillation
BD Ultra-Fine Needles 31 guage,Essential Hypertension
CeraVe,General Surgery
Propecia,Drug Use
Select-OB,Urinary Tract Infection
NovoLOG Mix 70/30,Tobacco Use
Loestrin 1.5/30 (21),Family Health Status
HalfLytely with Flavor Packs,Hypertension
DME,Marital History - Currently Married
Prezista,Allergic Rhinitis
FreeStyle Lite Test,Occupation:
Glucometer Elite Classic,Benign Essential Hypertension
Bactroban Nasal,Acute Upper Respiratory Infection
ROPINIRole HCl,Tobacco Use
Hydrocortisone Acetate,Esophageal Reflux
Citric Acid-Sodium Citrate,Hypertension
Terbinafine HCl,Coronary Artery Disease
Fioricet,Hysterectomy
Chantix Continuing Month Pak,Allergic Rhinitis
GlyBURIDE Micronized,Hyperlipidemia
AndroGel,Coronary Artery Disease
Lancets Ultra Thin,Diabetes Mellitus
Aggrenox,Normal Routine History And Physical Geriatric (80 +)
Guaifenesin-DM,Essential Hypertension
Fortamet,Hyperlipidemia
Ketorolac Tromethamine,Alcohol
Brimonidine Tartrate,Stroke Syndrome
Allegra ODT,Asthma
Omega-3,Essential Hypertension
Calcium Acetate,Never Smoked
Cefpodoxime Proxetil,Essential Hypertension
NovoFine 30,Hypothyroidism
Klor-Con,Benign Essential Hypertension
Lomotil,Congestive Heart Failure
BusPIRone HCl,Hyperlipidemia
Terazosin HCl,Stroke Syndrome
Milk of Magnesia,Normal Routine History And Physical Geriatric (80 +)
Exforge,Essential Hypertension
Gentian Violet,Atopic Dermatitis
Co Q 10,Hypertension
Amrix,Diabetes Mellitus
Vitamins/Minerals,Tobacco Use
Cilostazol,Coronary Artery Disease
Blood Pressure Monitor/L Cuff,Benign Essential Hypertension
Relpax,Hypertension
FreeStyle System,Obesity
Lutera,Diabetes Mellitus
Omnaris,Occupation:
Sustiva,Alcohol
Digoxin,Alcohol Use
Diclofenac Sodium,Tobacco Use
Multi-Vitamin,Marital History - Currently Married
Nebulizer,Arthritis
Permethrin,Hypertension
PredniSONE (Pak),Hyperlipidemia
Magnesium Oxide,Diabetes Mellitus
Micardis,Drug Use
Vicodin ES,Alcohol
Allopurinol,Alcohol Use
Detrol LA,Diabetes Mellitus
Rondec,Cough
Capsaicin,Alcohol
Excedrin Extra Strength,Fatigue
Iron Chews Pediatric,General Surgery
Diflucan,Fatigue
MoviPrep,Esophageal Reflux
Glycopyrrolate,Constipation
NovoFine,Obesity
Renagel,Hyperlipidemia
Sensipar,Hyperlipidemia
Inspra,Vitamin D Deficiency
Rituxan,Vitamin D Deficiency
Revatio,Alcohol
Vitamin B-12,Coronary Artery Disease
Cipro,Depression
Cartia XT,Type II Diabetes Mellitus
Lovastatin,Alcohol Use
Insulin Syringe/Needle,Essential Hypertension
Flexeril,Allergic Rhinitis
Loratadine Allergy Relief,General Surgery
Multiple Vitamin,Never Smoked
Dicloxacillin Sodium,Tobacco Use
Hydrocod Polst-Chlorphen Polst,Type II Diabetes Mellitus
Guaifenesin 600/PSE 120,Fatigue
Sinus Rinse Bottle Kit,Asthma
PROzac,Hyperlipidemia
Pravachol,Stroke Syndrome
Diphenoxylate-Atropine,Allergic Rhinitis
Coreg CR,Benign Essential Hypertension
Riboflavin,Seizure Disorder
Bisacodyl,Urinary Tract Infection
Benadryl Allergy,Allergic Rhinitis
Erythromycin Ethylsuccinate,Allergic Rhinitis
Atacand HCT,Hyperlipidemia
Nifedical XL,Diabetes Mellitus
Zovirax,Marital History - Currently Married
Verapamil HCl,Alcohol
Captopril,Coronary Artery Disease
Otozone,Cough
NuvaRing,Diabetes Mellitus
Tessalon Perles,Type II Diabetes Mellitus
Itraconazole,Drug Use
Losartan Potassium-HCTZ,Hypothyroidism
TriNessa (28),Breast Cancer
Catapres-TTS-3,Hypertension
OneTouch Basic System,Type II Diabetes Mellitus
Ultra-Thin II Ins Syr Short,Type II Diabetes Mellitus
Lancets 28G,Obesity
Quinine Sulfate,Osteoporosis
Vagifem,Hyperlipidemia
Diphenoxylate-Atropine,Diabetes Mellitus
Glucotrol,Essential Hypertension
Trizivir,Tobacco Use
Guaifen-PSE,Allergic Rhinitis
Razadyne ER,Normal Routine History And Physical Geriatric (80 +)
PROzac,Alcohol Use
Amoxil,Asthma
Levothroid,Diabetes Mellitus
Guiatuss AC,Esophageal Reflux
Norethindrone,Bacterial Vaginosis
Caltrate 600+D,Hysterectomy
NovoLIN R,Tobacco Use
Arimidex,Hyperlipidemia
Acetaminophen,Tobacco Use
Torsemide,Diabetes Mellitus
Lactulose,Hyperlipidemia
DiphenhydrAMINE Cough,Anemia
Advil,Marital History - Currently Married
Mucinex,Hypothyroidism
Pilocarpine HCl,Osteoporosis
Alphagan,Diabetes Mellitus Poorly Controlled
Motrin,Tobacco Use
Finasteride,Marital History - Currently Married
Megace ES,Alcohol
Kenalog,Hypertension
Alphagan,Hyperlipidemia
Soma,Diabetes Mellitus
Vitamins/Minerals,Hypertension
Hydrocod Polst-Chlorphen Polst,Hemorrhoids
Low-Ogestrel,Marital History - Single
Flaxseed Oil,Hypertension
"Pen Needles 1/2""",Depression
BiDil,Obesity
Senna,Hysterectomy
Ammonium Lactate,Hyperlipidemia
Symbicort,Hypothyroidism
Betamethasone Dipropionate Aug,Eczema
Metaxalone,Alcohol Use
Doc-Q-Lace,Essential Hypertension
Home Health,Benign Essential Hypertension
Dexilant,Hyperlipidemia
Vasotec,Hyperlipidemia
Hydrogen Peroxide,Esophageal Reflux
Nystop,Urinary Tract Infection
Phenergan,Hypothyroidism
Guaifen PSE,Tobacco Use
DiphenhydrAMINE Cough,Coronary Artery Disease
B-12,Drug Use
Ortho Tri-Cyclen (28),Alcohol
Ecotrin Low Strength,Benign Essential Hypertension
OB Complete 400,Anemia
BD Lancet Ultrafine 33G,Exercising Regularly
Cortisporin-TC,Acute Upper Respiratory Infection
Caltrate 600+D,Normal Routine History And Physical Geriatric (80 +)
Lancets Ultra Thin,Hyperlipidemia
Aldactone,Benign Essential Hypertension
Sensipar,Essential Hypertension
Cod Liver Oil,Hysterectomy
Adapalene,Allergic Rhinitis
Cefpodoxime Proxetil,Hypertension
Claritin Reditabs,Eczema
Atacand HCT,Benign Essential Hypertension
Iron (Ferrous Gluconate),Anemia
Multi-Vitamin,Coronary Artery Disease
BD Lancet Ultrafine 33G,Dyslipidemia
Home Health,Depression
Diltiazem HCl Coated Beads,Tobacco Use
Guiatuss AC,Upper Respiratory Infection
Geodon,Depression
BD Pen,Exercising Regularly
Levocetirizine Dihydrochloride,Asthma
Nicotine,Diabetes Mellitus
Robaxin-750,Seizure Disorder
Diltiazem HCl CR,Normal Routine History And Physical Geriatric (80 +)
Guaifenesin 600/PSE 120,Headache
Tessalon Perles,Drug Use
Requip,Hypothyroidism
HumuLIN N Pen,Tobacco Use
Multaq,Hyperlipidemia
Norvir,Diabetes Mellitus
Guaiatussin AC,Allergic Rhinitis
Bayer Breeze 2 Test,Exercising Regularly
Omnicef,Asthma
Aldactone,Diabetes Mellitus
Alphagan P,Tobacco Use
Tessalon Perles,Esophageal Reflux
Restasis,Esophageal Reflux
Alphagan P,Diabetes Mellitus
Kionex,Anemia
Klor-Con,Diabetes Mellitus
BiPAP,Obesity
CitraNatal 90 DHA,Alcohol
Alphagan P,Alcohol
Tramadol-Acetaminophen,Hypertension
Omega-3 Fish Oil,Hyperlipidemia
Qvar,Esophageal Reflux
Pradaxa,Never Smoked
Ocella,Tobacco Use
Cardizem LA,Hypertension
Triazolam,Depression
AndroGel,Hypertension
Glucosamine,Essential Hypertension
Doxy-Caps,Insomnia
Proctofoam HC,Essential Hypertension
PrednisoLONE Sodium Phosphate,Allergic Rhinitis
Reyataz,Allergic Rhinitis
Zestril,Type II Diabetes Mellitus
Aspirin Low Dose,Heart Disease
Rythmol SR,Marital History - Currently Married
Pravachol,Normal Routine History And Physical Geriatric (80 +)
Multi-Vitamin,Hypertension
Soma,Alcohol
KlonoPIN,Drug Use
Enulose,Esophageal Reflux
Calcium Acetate,Never Drank Alcohol
Avalide,Esophageal Reflux
Acetylcysteine,Hyperlipidemia
Glucosamine Chondroitin,Drug Use
Claritin-D 12 Hour,Drug Use
Acyclovir,Occupation:
Loratadine-Pseudoephedrine,Chronic Obstructive Pulmonary Disease
CitraNatal Assure,Cesarean Section
Accu-Chek Aviva,Exercising Regularly
OneTouch Ultra System,Essential Hypertension
B-12,Alcohol
Maxaron Forte,Breast Cancer
Cardizem CD,Tobacco Use
Lusonex Plus,Acute Upper Respiratory Infection
Benadryl Allergy Childrens,Asthma
Advil Junior Strength,Cough
Feosol,Anemia
Sildenafil Citrate,Asthma
Cheratussin DAC,Cough
Levocetirizine Dihydrochloride,Cough
Benazepril HCl,Alcohol
Ciprofloxacin-Ciproflox HCl,Tobacco Use
Nicotrol,Hyperlipidemia
Avandia,Alcohol
Ascensia Microlet,Diabetes Mellitus Poorly Controlled
Ammonium Lactate,Obesity
Sanctura XR,Atrial Fibrillation
Viracept,Marital History - Single
FreeStyle Lite Test,Esophageal Reflux
Zestril,Drug Use
Armour Thyroid,Alcohol
Vicodin ES,Drug Use
Prograf,Type II Diabetes Mellitus
Bactrim 400-8- MG/5ML Solution,Preterm Infant
Handicap Parking,Hypertension
Proscar,Hyperlipidemia
Lunesta,Diabetes Mellitus
Cetirizine-Pseudoephedrine,Alcohol
Metanx,Hyperlipidemia
Diltiazem CD,Stroke Syndrome
Voltaren,Alcohol
Diltiazem HCl,Drug Use
Norco,Hypertension
Imitrex,Allergic Rhinitis
Calcium 600 + D,Alcohol
Atrovent HFA,Type II Diabetes Mellitus
Oscal 500/200 D-3,Depression
Calcium/Vitamin D/Minerals,Heart Disease
Coenzyme Q10,Hypertension
Blood Pressure Monitor,Hypertension
Ondansetron,Esophageal Reflux
Robinul,Esophageal Reflux
Symbicort,Tobacco Use
Temazepam,Diabetes Mellitus
Claritin-D 24 Hour,Drug Use
Voltaren,Hypertension
Co Q-10,Hypertension
Ascensia Autodisc Test,Type II Diabetes Mellitus
Insulin Purified NPH (Pork),Type II Diabetes Mellitus
SMZ-TMP DS,Drug Use
Inspra,Coronary Artery Disease
Enablex,Depression
Ocella,Breast Cancer
PARoxetine HCl,Allergic Rhinitis
Prempro,Drug Use
Pristiq,Heart Disease
Benazepril-Hydrochlorothiazide,Hypertension
Progesterone Micronized,Ankle Joint Pain
Guaifenesin-DM,Fatigue
DynaCirc CR,Obstructive Sleep Apnea
Epzicom,Cough
Enalapril-Hydrochlorothiazide,Diabetes Mellitus
Aquaphor,Acute Upper Respiratory Infection
Digitek,Normal Routine History And Physical Geriatric (80 +)
Enulose,Essential Hypertension
Citracal + D,Hypothyroidism
Tylenol Childrens,Acute Upper Respiratory Infection
Oscal 500/200 D-3,Drug Use
Microgestin 1/20,Tobacco Use
Azelastine HCl,Esophageal Reflux
OneTouch UltraSoft Lancets,Alcohol
HumaLOG Mix 75/25 KwikPen,Tobacco Use
Metrogel,Depression
Ciprofloxacin-Ciproflox HCl,Alcohol
Propafenone HCl,Drug Use
Lansoprazole,Tobacco Use
Ipratropium Bromide,Alcohol
Feosol,Congestive Heart Failure
Clarinex,Diabetes Mellitus
HumaLOG Mix 75/25 KwikPen,Alcohol
Cleocin,Esophageal Reflux
Sensipar,Diabetes Mellitus
Paxil,Hypertension
Tramadol-Acetaminophen,Diabetes Mellitus
BusPIRone HCl,Drug Use
Voltaren,Essential Hypertension
Econazole Nitrate,Drug Use
One Touch Ultra Test Strips,Occupation:
FreeStyle Test,Marital History - Currently Married
FentaNYL,Alcohol
Spiriva HandiHaler,Asthma
Terbinafine HCl,Occupation:
Vitamin B-12,Stroke Syndrome
BD Ultra-Fine Needles 31 guage,Cough
Accu-Chek Softclix Lancets,Obesity
Multi-Day Vitamins,Exercising Regularly
Micardis,Alcohol
Benazepril-Hydrochlorothiazide,Hyperlipidemia
Accu-Chek Softclix Lancets,Essential Hypertension
Accu-Chek Compact Test Drum,Diabetes Mellitus
Aspir-Low,Hyperlipidemia
Acarbose,Essential Hypertension
Keflex,Drug Use
Mobic,Alcohol Use
Cipro,Allergic Rhinitis
Transderm-Scop,Allergic Rhinitis
B-D Test Strips,Hypothyroidism
Calcium 600 + D,Drug Use
B-12,Hypothyroidism
Atenolol-Chlorthalidone,Tobacco Use
Bayer Low Strength,Essential Hypertension
Pataday,Hypertension
Nephro-Vite,Never Drank Alcohol
HumaLOG Mix 75/25,Benign Essential Hypertension
Ascensia Microlet,Obesity
Potassium Chloride Crys CR,Normal Routine History And Physical Geriatric (80 +)
Apidra,Obesity
Omnicef,Previous Hospitalizations
Advicor,Hyperlipidemia
Misoprostol,Alcohol
Vitamin B-12,Heart Disease
Pulmozyme,Acute Upper Respiratory Infection
Naftin,Alcohol
Verapamil HCl,Drug Use
Fiorinal,Headache
Catapres-TTS-3,Congestive Heart Failure
Bumetanide,Benign Essential Hypertension
Lisinopril-HCTZ,Drug Use
Lopressor,Essential Hypertension
Mag-Ox 400,Congestive Heart Failure
BD Pen,Congestive Heart Failure
Calcium 500 + D,Benign Essential Hypertension
Lunesta,Occupation:
Tamiflu,Diabetes Mellitus
Renvela,Coronary Artery Disease
FreeStyle System,Hysterectomy
Urelle,Hysterectomy
Neomycin-Polymyxin-HC,Essential Hypertension
Dexamethasone,Tobacco Use
HumaLOG Mix 75/25,Hypertension
Cinnamon,Hysterectomy
Oxygen,Allergic Rhinitis
Janumet,Hypothyroidism
Neomycin-Polymyxin-HC,Drug Use
Cilostazol,Hypertension
Tenormin,Benign Essential Hypertension
Clopidogrel Bisulfate,Benign Essential Hypertension
Piroxicam,Tobacco Use
Multi Vitamin/Minerals,Heart Disease
Tessalon Perles,Allergic Rhinitis
HalfLytely with Flavor Packs,Esophageal Reflux
Lidocaine HCl,History Of Prior Surgery
Cytra-2,Congestive Heart Failure
Glucosamine,Hypothyroidism
FreeStyle Lancets,Occupation:
Diltiazem HCl,Alcohol
Tramadol-Acetaminophen,Hyperlipidemia
Omacor,Hypertension
PrimaCare,Dizziness
Cortisporin-TC,Otitis Media
Viramune,Alcohol
NyQuil,Tonsillectomy
Caduet,Drug Use
DynaCirc CR,Essential Hypertension
Excedrin,Essential Hypertension
Lansoprazole,Alcohol
Isentress,Headache
Uroxatral,Drug Use
Pseudoephedrine HCl,Allergic Rhinitis
Augmentin XR,Tobacco Use
BD Insulin Syringe,Congestive Heart Failure
Enalapril-Hydrochlorothiazide,Tobacco Use
ClomiPHENE Citrate,Never Smoked
Ramipril,Occupation:
Neomycin-Polymyxin-HC,Hypertension
YAZ,Occupation:
Procardia XL,Alcohol
NovoLIN R,Alcohol
Brompheniramine-Pseudoeph,Upper Respiratory Infection
Prenate Elite,Routine Pelvic Exam With Cervical Pap Smear
HalfLytely with Flavor Packs,Essential Hypertension
Nifediac CC,Hyperlipidemia
Estrace,Tobacco Use
Accu-Chek Active,Obesity
Diltiazem CD,Heart Disease
Allegra-D 12 Hour,Diabetes Mellitus
CycloSPORINE Modified,Benign Essential Hypertension
Sodium Bicarbonate,Type II Diabetes Mellitus
OneTouch Ultra Test,Occupation:
CefTRIAXone Sodium,Drug Use
Diltiazem HCl,Benign Essential Hypertension
LamoTRIgine,Drug Use
Onglyza,Hypertension
Clindamycin Palmitate HCl,Seizure Disorder
Retrovir,Elective Circumcision
Ampicillin,Tobacco Use
Cefpodoxime Proxetil,Hyperlipidemia
Naprosyn,"Joint Pain, Localized In The Knee"
Bactroban Nasal,Allergic Rhinitis
Mupirocin,Tobacco Use
Claritin-D 24 Hour,Esophageal Reflux
AndroGel Pump,Coronary Artery Disease
Rhinocort Aqua,Diabetes Mellitus
Ranitidine HCl,Alcohol
Zestoretic,Hyperlipidemia
OneTouch FinePoint Lancets,Chest Pain
Didanosine,Currently In School Having Difficulty
Potassium Chloride,Alcohol Use
Ferrous Gluconate,Drug Use
Acetaminophen-Codeine #4,Lower Back Pain
Lubriderm,Caffeine Use
Co Q10,Previous History Of Smoking
HumuLIN R,Benign Essential Hypertension
Calcitriol,Hyperlipidemia
Senokot,Constipation
Exelon,Benign Essential Hypertension
Bicillin L-A,Being A Social Drinker
Propecia,Tobacco Use
Kayexalate,Hypothyroidism
Doc-Q-Lace,Arthritis
Restoril,Depression
Flecainide Acetate,Alcohol
Livalo,Hypertension
Vitamin B Complex,Coronary Artery Disease
Ortho Tri-Cyclen (28),Drug Use
Wellbutrin SR,Hypertension
Diflucan,Alcohol
Benadryl Allergy Childrens,Allergic Rhinitis
Meridia,Obesity
SUMAtriptan Succinate,Occupation:
Azor,Alcohol
ROPINIRole HCl,Hypothyroidism
Vaniqa,Routine Pelvic Exam With Cervical Pap Smear
Accupril,Tobacco Use
Kaletra,Anemia
ZyPREXA,Hypothyroidism
Aciphex,Diabetes Mellitus
Vitamin B12 TR,Hysterectomy
Provigil,Hyperlipidemia
Tessalon Perles,Alcohol
Accu-Chek Active,Alcohol
Ventolin HFA,Essential Hypertension
Sotalol HCl (AF),Congestive Heart Failure
Benazepril HCl,Diabetes Mellitus
Alendronate Sodium,Diabetes Mellitus
Misoprostol,Drug Use
Caltrate 600,Essential Hypertension
CoQ-10,Essential Hypertension
OneTouch UltraSoft Lancets,Obesity
Exforge,Tobacco Use
Ipratropium Bromide,Tobacco Use
Loratadine Allergy Relief,Previous Hospitalizations
Lutera,Hypertension
Klor-Con M10,Alcohol
Hydrocortisone Valerate,Atopic Dermatitis
Flecainide Acetate,Previous History Of Smoking
Dextromethorphan-Guaifenesin,Insomnia
Ecotrin,Type II Diabetes Mellitus
Sotalol HCl,Type II Diabetes Mellitus
Calcium + D + K,Osteoporosis
Phentermine HCl,Tobacco Use
Claritin-D 12 Hour,Alcohol
Hydrocod Polst-Chlorphen Polst,Upper Respiratory Infection
Nitrofurantoin Monohyd Macro,Hyperlipidemia
Itraconazole,Alcohol
PriLOSEC OTC,Alcohol Use
Clonidine Patch,Hyperlipidemia
Brovana,Congestive Heart Failure
Reclipsen,Routine Pelvic Exam With Cervical Pap Smear
Enablex,Hysterectomy
Propafenone HCl,Tobacco Use
Zegerid,Hypertension
HumuLIN R,Drug Use
Ocuvite,Normal Routine History And Physical Geriatric (80 +)
PrednisoLONE,Hypertension
Polyethylene Glycol,Upper Respiratory Infection
Megestrol Acetate,Anemia
Astepro,Depression
Magic Mouthwash,Alcohol
Bisoprolol Fumarate,Essential Hypertension
Symbicort,Essential Hypertension
Caltrate 600 Plus-Vit D,Benign Essential Hypertension
Ferrous Gluconate,Alcohol
Microgestin 1/20,Breast Cancer
Lisinopril-HCTZ,Benign Essential Hypertension
Acetamin,Depression
Atacand,Diabetes Mellitus
Zymar,Hyperlipidemia
